time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-23T05:31:04.670Z,-22.2273,-68.7169,121.85,4.5,mb,,53,0.649,1.05,us,us1000hvlj,2019-02-02T20:02:29.040Z,"34km NE of Calama, Chile",earthquake,6.7,7,0.163,11,reviewed,us,us
2018-11-22T20:15:55.810Z,-31.9437,-69.6953,118.91,4.5,mb,,93,0.948,0.84,us,us1000hvje,2019-02-02T20:02:28.040Z,"73km SSW of Calingasta, Argentina",earthquake,6,7.2,0.127,20,reviewed,us,us
2018-11-22T02:22:31.130Z,-38.0734,-75.1699,10,4.5,mb,,195,1.567,0.44,us,us1000hva6,2019-02-02T20:02:28.040Z,"143km WSW of Lebu, Chile",earthquake,6,2,0.221,6,reviewed,us,us
2018-11-21T11:42:59.890Z,-31.5889,-71.5564,49.04,4.7,mwr,,80,0.914,0.91,us,us1000huwi,2019-02-02T20:02:27.040Z,"37km W of Illapel, Chile",earthquake,5.1,5.3,0.035,79,reviewed,us,us
2018-11-21T00:06:49.880Z,-28.8586,-67.3543,117.1,4.6,mb,,78,2.561,0.73,us,us1000hur2,2019-02-02T20:02:27.040Z,"36km NNE of Chilecito, Argentina",earthquake,8.4,5.9,0.082,45,reviewed,us,us
2018-11-12T18:29:14.380Z,-21.083,-68.9502,113.09,4.5,mb,,53,0.503,0.74,us,us1000hqvz,2019-01-30T18:36:22.040Z,"153km N of Calama, Chile",earthquake,5.7,5.3,0.075,52,reviewed,us,us
2018-11-11T16:55:35.320Z,-22.9189,-66.4026,222.46,4.7,mb,,30,1.637,0.85,us,us1000hqlg,2019-01-21T16:42:56.040Z,"75km WSW of Abra Pampa, Argentina",earthquake,7.6,5.6,0.036,232,reviewed,us,us
2018-11-10T07:53:37.150Z,-24.0921,-68.9684,96.16,4.7,mb,,75,0.993,1.16,us,us1000hq7j,2019-01-21T16:42:59.040Z,"151km SSW of San Pedro de Atacama, Chile",earthquake,6.5,7.1,0.08,47,reviewed,us,us
2018-11-10T00:36:51.580Z,-23.5727,-66.7764,199.29,4.5,mb,,37,1.43,0.86,us,us1000hq44,2019-01-21T16:42:56.040Z,"85km NNW of San Antonio de los Cobres, Argentina",earthquake,8.6,9.4,0.139,15,reviewed,us,us
2018-11-09T18:54:10.170Z,-30.6285,-71.7108,25.76,5.2,mww,,114,0.079,0.8,us,us1000hpxh,2019-01-21T16:42:59.040Z,"49km W of Ovalle, Chile",earthquake,5.2,3.2,0.08,15,reviewed,us,us
2018-11-09T15:15:42.530Z,-27.9857,-66.5921,165.2,4.7,mb,,48,3.25,0.83,us,us1000hps3,2019-01-21T16:42:59.040Z,"52km SSW of Andalgala, Argentina",earthquake,5.1,10.2,0.153,13,reviewed,us,us
2018-11-09T07:44:51.720Z,-22.7156,-67.7195,169.88,4.5,mb,,53,0.484,1.01,us,us1000hpl5,2019-01-21T16:42:53.040Z,"55km ENE of San Pedro de Atacama, Chile",earthquake,10.4,8.2,0.22,6,reviewed,us,us
2018-11-08T08:16:13.370Z,-27.8401,-71.2091,21.79,4.6,mb,,141,0.382,0.66,us,us1000hp6b,2019-01-21T16:42:54.040Z,"92km NNW of Vallenar, Chile",earthquake,5.2,5.9,0.109,25,reviewed,us,us
2018-11-07T04:06:41.060Z,-21.2617,-68.9007,114.8,4.5,mb,,64,0.589,0.68,us,us2000i7tq,2019-01-21T16:42:59.040Z,"133km N of Calama, Chile",earthquake,6.2,6.6,0.118,21,reviewed,us,us
2018-11-06T21:22:55.750Z,-45.534,-76.7622,10,5.3,mww,,140,2.661,0.73,us,us2000i7qy,2019-01-21T16:42:54.040Z,"Off the coast of Aisen, Chile",earthquake,8.6,1.8,0.075,17,reviewed,us,us
2018-11-06T20:14:16.070Z,-21.8243,-68.6126,126.01,4.5,mb,,32,0.585,0.88,us,us2000i7pa,2019-01-21T16:42:59.040Z,"78km NNE of Calama, Chile",earthquake,5.5,5.9,0.136,16,reviewed,us,us
